"TIME","GEO","SPECIES","SPECIES_LABEL","FISHREG","UNIT","Value","Flag and Footnotes"
"2012","European Union (current composition)","F00","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","3 283 411.53",""
"2012","European Union (current composition)","F00","All aquatic organisms","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","European Union (current composition)","F00","All aquatic organisms","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","European Union (current composition)","F00","All aquatic organisms","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","European Union (current composition)","F00","All aquatic organisms","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","European Union (current composition)","F01","Aquatic animals","Atlantic, Northeast","Tonnes live weight","3 241 232.28",""
"2012","European Union (current composition)","F01","Aquatic animals","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","European Union (current composition)","F01","Aquatic animals","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","European Union (current composition)","F01","Aquatic animals","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","European Union (current composition)","F01","Aquatic animals","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","European Union (current composition)","F10","Freshwater fishes","Atlantic, Northeast","Tonnes live weight",":",""
"2012","European Union (current composition)","F10","Freshwater fishes","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","European Union (current composition)","F10","Freshwater fishes","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","European Union (current composition)","F10","Freshwater fishes","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","European Union (current composition)","F10","Freshwater fishes","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","European Union (current composition)","F30","Marine fishes","Atlantic, Northeast","Tonnes live weight","2 790 599.05",""
"2012","European Union (current composition)","F30","Marine fishes","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","European Union (current composition)","F30","Marine fishes","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","European Union (current composition)","F30","Marine fishes","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","European Union (current composition)","F30","Marine fishes","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","European Union (current composition)","F37","Miscellaneous pelagic fishes","Atlantic, Northeast","Tonnes live weight",":",""
"2012","European Union (current composition)","F37","Miscellaneous pelagic fishes","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","European Union (current composition)","F37","Miscellaneous pelagic fishes","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","European Union (current composition)","F37","Miscellaneous pelagic fishes","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","European Union (current composition)","F37","Miscellaneous pelagic fishes","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","European Union (current composition)","ANE","European anchovy - Engraulis encrasicolus","Atlantic, Northeast","Tonnes live weight",":",""
"2012","European Union (current composition)","ANE","European anchovy - Engraulis encrasicolus","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","European Union (current composition)","ANE","European anchovy - Engraulis encrasicolus","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","European Union (current composition)","ANE","European anchovy - Engraulis encrasicolus","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","European Union (current composition)","ANE","European anchovy - Engraulis encrasicolus","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","European Union (current composition)","COD","Atlantic cod - Gadus morhua","Atlantic, Northeast","Tonnes live weight","143 550.27",""
"2012","European Union (current composition)","COD","Atlantic cod - Gadus morhua","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","European Union (current composition)","COD","Atlantic cod - Gadus morhua","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","European Union (current composition)","COD","Atlantic cod - Gadus morhua","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","European Union (current composition)","COD","Atlantic cod - Gadus morhua","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","European Union (current composition)","HER","Atlantic herring - Clupea harengus","Atlantic, Northeast","Tonnes live weight",":",""
"2012","European Union (current composition)","HER","Atlantic herring - Clupea harengus","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","European Union (current composition)","HER","Atlantic herring - Clupea harengus","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","European Union (current composition)","HER","Atlantic herring - Clupea harengus","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","European Union (current composition)","HER","Atlantic herring - Clupea harengus","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","European Union (current composition)","HKE","European hake - Merluccius merluccius","Atlantic, Northeast","Tonnes live weight",":",""
"2012","European Union (current composition)","HKE","European hake - Merluccius merluccius","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","European Union (current composition)","HKE","European hake - Merluccius merluccius","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","European Union (current composition)","HKE","European hake - Merluccius merluccius","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","European Union (current composition)","HKE","European hake - Merluccius merluccius","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","European Union (current composition)","HMM","Mediterranean horse mackerel - Trachurus mediterraneus","Atlantic, Northeast","Tonnes live weight",":",""
"2012","European Union (current composition)","HMM","Mediterranean horse mackerel - Trachurus mediterraneus","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","European Union (current composition)","HMM","Mediterranean horse mackerel - Trachurus mediterraneus","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","European Union (current composition)","HMM","Mediterranean horse mackerel - Trachurus mediterraneus","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
"2012","European Union (current composition)","HMM","Mediterranean horse mackerel - Trachurus mediterraneus","Atlantic, Northeast / 27.1 (not specified)","Tonnes live weight",":",""
"2012","European Union (current composition)","HOM","Atlantic horse mackerel - Trachurus trachurus","Atlantic, Northeast","Tonnes live weight",":",""
"2012","European Union (current composition)","HOM","Atlantic horse mackerel - Trachurus trachurus","Atlantic, Northeast / 27.1","Tonnes live weight",":",""
"2012","European Union (current composition)","HOM","Atlantic horse mackerel - Trachurus trachurus","Atlantic, Northeast / 27.1.a","Tonnes live weight",":",""
"2012","European Union (current composition)","HOM","Atlantic horse mackerel - Trachurus trachurus","Atlantic, Northeast / 27.1.b","Tonnes live weight",":",""
