"TIME","GEO","SPECIES","FISHREG","UNIT","Value","Flag and Footnotes"
"2012","European Union (current composition)","All aquatic organisms","Total fishing areas","Tonnes live weight","4 419 339.64",""
"2012","European Union (current composition)","All aquatic organisms","Atlantic, Northwest","Tonnes live weight","61 608.37",""
"2012","European Union (current composition)","All aquatic organisms","Atlantic, Northeast","Tonnes live weight","3 283 411.53",""
"2012","European Union (current composition)","All aquatic organisms","Atlantic, Eastern Central","Tonnes live weight","322 420.81",""
"2012","European Union (current composition)","All aquatic organisms","Mediterranean and Black Sea","Tonnes live weight","422 629.2",""
"2012","European Union (current composition)","All aquatic organisms","Atlantic, Southwest","Tonnes live weight","129 719.29",""
"2012","European Union (current composition)","All aquatic organisms","Atlantic, Southeast","Tonnes live weight","59 202.05",""
"2012","European Union (current composition)","All aquatic organisms","Indian Ocean, Western","Tonnes live weight","140 348.38",""
"2012","European Union (current composition)","Cods, hakes, haddocks","Total fishing areas","Tonnes live weight","557 749.73",""
"2012","European Union (current composition)","Cods, hakes, haddocks","Atlantic, Northwest","Tonnes live weight",":",""
"2012","European Union (current composition)","Cods, hakes, haddocks","Atlantic, Northeast","Tonnes live weight","472 865.42",""
"2012","European Union (current composition)","Cods, hakes, haddocks","Atlantic, Eastern Central","Tonnes live weight",":",""
"2012","European Union (current composition)","Cods, hakes, haddocks","Mediterranean and Black Sea","Tonnes live weight",":",""
"2012","European Union (current composition)","Cods, hakes, haddocks","Atlantic, Southwest","Tonnes live weight",":",""
"2012","European Union (current composition)","Cods, hakes, haddocks","Atlantic, Southeast","Tonnes live weight",":",""
"2012","European Union (current composition)","Cods, hakes, haddocks","Indian Ocean, Western","Tonnes live weight",":",""
"2012","European Union (current composition)","Miscellaneous pelagic fishes","Total fishing areas","Tonnes live weight",":",""
"2012","European Union (current composition)","Miscellaneous pelagic fishes","Atlantic, Northwest","Tonnes live weight",":",""
"2012","European Union (current composition)","Miscellaneous pelagic fishes","Atlantic, Northeast","Tonnes live weight",":",""
"2012","European Union (current composition)","Miscellaneous pelagic fishes","Atlantic, Eastern Central","Tonnes live weight",":",""
"2012","European Union (current composition)","Miscellaneous pelagic fishes","Mediterranean and Black Sea","Tonnes live weight",":",""
"2012","European Union (current composition)","Miscellaneous pelagic fishes","Atlantic, Southwest","Tonnes live weight",":",""
"2012","European Union (current composition)","Miscellaneous pelagic fishes","Atlantic, Southeast","Tonnes live weight",":",""
"2012","European Union (current composition)","Miscellaneous pelagic fishes","Indian Ocean, Western","Tonnes live weight",":",""
"2012","European Union (current composition)","European anchovy - Engraulis encrasicolus","Total fishing areas","Tonnes live weight",":",""
"2012","European Union (current composition)","European anchovy - Engraulis encrasicolus","Atlantic, Northwest","Tonnes live weight",":",""
"2012","European Union (current composition)","European anchovy - Engraulis encrasicolus","Atlantic, Northeast","Tonnes live weight",":",""
"2012","European Union (current composition)","European anchovy - Engraulis encrasicolus","Atlantic, Eastern Central","Tonnes live weight",":",""
"2012","European Union (current composition)","European anchovy - Engraulis encrasicolus","Mediterranean and Black Sea","Tonnes live weight",":",""
"2012","European Union (current composition)","European anchovy - Engraulis encrasicolus","Atlantic, Southwest","Tonnes live weight",":",""
"2012","European Union (current composition)","European anchovy - Engraulis encrasicolus","Atlantic, Southeast","Tonnes live weight",":",""
"2012","European Union (current composition)","European anchovy - Engraulis encrasicolus","Indian Ocean, Western","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic herring - Clupea harengus","Total fishing areas","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic herring - Clupea harengus","Atlantic, Northwest","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic herring - Clupea harengus","Atlantic, Northeast","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic herring - Clupea harengus","Atlantic, Eastern Central","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic herring - Clupea harengus","Mediterranean and Black Sea","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic herring - Clupea harengus","Atlantic, Southwest","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic herring - Clupea harengus","Atlantic, Southeast","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic herring - Clupea harengus","Indian Ocean, Western","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic horse mackerel - Trachurus trachurus","Total fishing areas","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic horse mackerel - Trachurus trachurus","Atlantic, Northwest","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic horse mackerel - Trachurus trachurus","Atlantic, Northeast","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic horse mackerel - Trachurus trachurus","Atlantic, Eastern Central","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic horse mackerel - Trachurus trachurus","Mediterranean and Black Sea","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic horse mackerel - Trachurus trachurus","Atlantic, Southwest","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic horse mackerel - Trachurus trachurus","Atlantic, Southeast","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic horse mackerel - Trachurus trachurus","Indian Ocean, Western","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic mackerel - Scomber scombrus","Total fishing areas","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic mackerel - Scomber scombrus","Atlantic, Northwest","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic mackerel - Scomber scombrus","Atlantic, Northeast","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic mackerel - Scomber scombrus","Atlantic, Eastern Central","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic mackerel - Scomber scombrus","Mediterranean and Black Sea","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic mackerel - Scomber scombrus","Atlantic, Southwest","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic mackerel - Scomber scombrus","Atlantic, Southeast","Tonnes live weight",":",""
"2012","European Union (current composition)","Atlantic mackerel - Scomber scombrus","Indian Ocean, Western","Tonnes live weight",":",""
