TIME,GEO,SPECIES,FISHREG,Value
2007,European Union (current composition),All aquatic organisms,Total fishing areas,4910170.42
2007,European Union (current composition),"Cods, hakes, haddocks",Total fishing areas,746671.73
2007,European Union (current composition),"Herrings, sardines, anchovies",Total fishing areas,1630860.04
2007,Belgium,All aquatic organisms,Total fishing areas,24026.86
2007,Belgium,"Cods, hakes, haddocks",Total fishing areas,2700.35
2007,Belgium,"Herrings, sardines, anchovies",Total fishing areas,1.4
2007,Belgium,European sprat - Sprattus sprattus,Total fishing areas,0.5
2007,Bulgaria,All aquatic organisms,Total fishing areas,7832.04
2007,Bulgaria,"Cods, hakes, haddocks",Total fishing areas,16
2007,Bulgaria,"Herrings, sardines, anchovies",Total fishing areas,3046
2007,Bulgaria,"Tunas, bonitos, billfishes",Total fishing areas,1
2007,Bulgaria,European sprat - Sprattus sprattus,Total fishing areas,2985
2007,Denmark,All aquatic organisms,Total fishing areas,652971.81
2007,Denmark,"Salmons, trouts, smelts",Total fishing areas,151.08
2007,Denmark,"Cods, hakes, haddocks",Total fishing areas,87204.32
2007,Denmark,"Herrings, sardines, anchovies",Total fishing areas,261759.01
2007,Denmark,European sprat - Sprattus sprattus,Total fishing areas,140892.01
2007,Germany (until 1990 former territory of the FRG),All aquatic organisms,Total fishing areas,226939.82
2007,Germany (until 1990 former territory of the FRG),"Salmons, trouts, smelts",Total fishing areas,55.9
2007,Germany (until 1990 former territory of the FRG),"Cods, hakes, haddocks",Total fishing areas,70929.9
2007,Germany (until 1990 former territory of the FRG),"Herrings, sardines, anchovies",Total fishing areas,93071
2007,Germany (until 1990 former territory of the FRG),"Tunas, bonitos, billfishes",Total fishing areas,1.2
2007,Germany (until 1990 former territory of the FRG),European sprat - Sprattus sprattus,Total fishing areas,30974.4
2007,Estonia,All aquatic organisms,Total fishing areas,96782.27
2007,Estonia,"Salmons, trouts, smelts",Total fishing areas,603.2
2007,Estonia,"Cods, hakes, haddocks",Total fishing areas,1221.6
2007,Estonia,"Herrings, sardines, anchovies",Total fishing areas,77115.5
2007,Estonia,European sprat - Sprattus sprattus,Total fishing areas,51007.4
2007,Ireland,All aquatic organisms,Total fishing areas,214844.59
2007,Ireland,"Cods, hakes, haddocks",Total fishing areas,45317.13
2007,Ireland,"Herrings, sardines, anchovies",Total fishing areas,34653.32
2007,Ireland,"Tunas, bonitos, billfishes",Total fishing areas,562.32
2007,Ireland,European sprat - Sprattus sprattus,Total fishing areas,3744.4
2007,Greece,All aquatic organisms,Total fishing areas,93639.15
2007,Greece,"Cods, hakes, haddocks",Total fishing areas,6491.3
2007,Greece,"Herrings, sardines, anchovies",Total fishing areas,28417.51
2007,Greece,"Tunas, bonitos, billfishes",Total fishing areas,2976.74
2007,Greece,European sprat - Sprattus sprattus,Total fishing areas,204.03
2007,Spain,All aquatic organisms,Total fishing areas,687125.75
2007,Spain,"Salmons, trouts, smelts",Total fishing areas,26.63
2007,Spain,"Cods, hakes, haddocks",Total fishing areas,112925.28
2007,Spain,"Herrings, sardines, anchovies",Total fishing areas,73861.12
2007,Spain,"Tunas, bonitos, billfishes",Total fishing areas,141959.65
2007,Spain,European sprat - Sprattus sprattus,Total fishing areas,17.6
2007,France,All aquatic organisms,Total fishing areas,549144.35
2007,France,"Salmons, trouts, smelts",Total fishing areas,77.86
2007,France,"Cods, hakes, haddocks",Total fishing areas,98353.13
2007,France,"Herrings, sardines, anchovies",Total fishing areas,65107.43
2007,France,"Tunas, bonitos, billfishes",Total fishing areas,100984.55
2007,France,European sprat - Sprattus sprattus,Total fishing areas,0.22
2007,Croatia,All aquatic organisms,Total fishing areas,48630.71
2007,Croatia,"Cods, hakes, haddocks",Total fishing areas,980
2007,Croatia,"Herrings, sardines, anchovies",Total fishing areas,30231
2007,Croatia,"Tunas, bonitos, billfishes",Total fishing areas,1896
2007,Italy,All aquatic organisms,Total fishing areas,282698.81
2007,Italy,"Cods, hakes, haddocks",Total fishing areas,18005
2007,Italy,"Herrings, sardines, anchovies",Total fishing areas,76830.2
2007,Italy,"Tunas, bonitos, billfishes",Total fishing areas,23289.3
2007,Italy,European sprat - Sprattus sprattus,Total fishing areas,105.2
2007,Cyprus,All aquatic organisms,Total fishing areas,2205.4
2007,Cyprus,"Cods, hakes, haddocks",Total fishing areas,23.1
2007,Cyprus,"Herrings, sardines, anchovies",Total fishing areas,12.1
2007,Cyprus,"Tunas, bonitos, billfishes",Total fishing areas,682
